Region ID,OSM ID,Access Score,Coordinates,Average Curb Ramp Score,Average No Curb Ramp Score,Average Obstacle Score,Average Surface Problem Score,Curb Ramp Significance,No Curb Ramp Significance,Obstacle Significance,Surface Problem Significance
1,26750910,6.825602910446286e-08,"[(-100.3805166,25.6447926),(-100.3803651,25.6452459),(-100.3802299,25.6456529),(-100.3802248,25.6456681),(-100.3802027,25.6457346)]",2.0,14.0,2.0,2.0,0.75,-1.0,-1.0,-1.0
2,26752101,0.0474258731775667,"[(-100.389989,25.6465062),(-100.3899512,25.6466224),(-100.3899478,25.6467435),(-100.3899789,25.6468613)]",0.0,1.0,1.0,1.0,0.75,-1.0,-1.0,-1.0
3,26752101,0.0003353501304664781,"[(-100.3901882,25.6462979),(-100.3900713,25.6463886),(-100.389989,25.6465062)]",0.0,2.0,3.0,3.0,0.75,-1.0,-1.0,-1.0
4,26752101,0.0373268873441294,"[(-100.3909842,25.6466671),(-100.3909476,25.6465201)]",1.0,1.0,2.0,1.0,0.75,-1.0,-1.0,-1.0
5,26752101,0.0373268873441294,"[(-100.3909405,25.6468847),(-100.3909768,25.6467783),(-100.3909842,25.6466671)]",1.0,1.0,2.0,1.0,0.75,-1.0,-1.0,-1.0
6,26752101,6.144174602214718e-06,"[(-100.3909476,25.6465201),(-100.3908783,25.6464103),(-100.390779,25.6463211),(-100.3906568,25.6462591),(-100.3905207,25.6462287),(-100.3903806,25.6462322)]",0.0,2.0,5.0,5.0,0.75,-1.0,-1.0,-1.0
7,26752101,0.00012339457598623172,"[(-100.3903806,25.6462322),(-100.3902808,25.6462564),(-100.3901882,25.6462979)]",0.0,2.0,4.0,3.0,0.75,-1.0,-1.0,-1.0
8,26752101,9.610241549947396e-05,"[(-100.3903396,25.6471498),(-100.3904837,25.6471634),(-100.3906263,25.6471405),(-100.3907565,25.6470831),(-100.390864,25.6469956),(-100.3909405,25.6468847)]",1.0,2.0,3.0,5.0,0.75,-1.0,-1.0,-1.0
9,26752101,0.00012339457598623172,"[(-100.3899789,25.6468613),(-100.3900621,25.6469912),(-100.3901866,25.6470908),(-100.3903396,25.6471498)]",0.0,2.0,3.0,4.0,0.75,-1.0,-1.0,-1.0
10,26752191,0.0953494648991094,"[(-100.3887802,25.6448294),(-100.388934,25.644913),(-100.3890995,25.6450143)]",1.0,1.0,1.0,1.0,0.75,-1.0,-1.0,-1.0
11,26752191,1.3709572068578448e-06,"[(-100.3890995,25.6450143),(-100.3891593,25.6450509),(-100.3892754,25.6451851),(-100.3893608,25.6453711),(-100.3893927,25.6456043),(-100.3894255,25.6458185),(-100.3894936,25.6459852),(-100.3895601,25.6461278),(-100.3897027,25.6462788)]",2.0,5.0,9.0,1.0,0.75,-1.0,-1.0,-1.0
12,26752191,0.0007096703991005881,"[(-100.3897027,25.6462788),(-100.3898488,25.6464173),(-100.389989,25.6465062)]",1.0,4.0,4.0,0.0,0.75,-1.0,-1.0,-1.0
13,26752266,7.582560422162384e-10,"[(-100.3892025,25.6427397),(-100.38873551039867,25.642433037192973)]",0.0,12.0,5.0,4.0,0.75,-1.0,-1.0,-1.0
14,26752266,4.1399375473943306e-08,"[(-100.38873551039867,25.642433037192973),(-100.3887085,25.6424153)]",0.0,11.0,5.0,1.0,0.75,-1.0,-1.0,-1.0
15,26752266,6.475947982049267e-07,"[(-100.389836,25.6435869),(-100.3897033,25.6433293),(-100.3896124,25.6431854),(-100.3894771,25.6429945),(-100.3893332,25.6428256),(-100.3892025,25.6427397)]",1.0,4.0,5.0,6.0,0.75,-1.0,-1.0,-1.0
16,26752266,1.0815941557168708e-11,"[(-100.3887085,25.6424153),(-100.3882478,25.642136),(-100.3881998,25.6420266)]",1.0,13.0,12.0,1.0,0.75,-1.0,-1.0,-1.0
17,26752266,0.0007096703991005881,"[(-100.3881998,25.6420266),(-100.3882106,25.6419555)]",1.0,2.0,6.0,0.0,0.75,-1.0,-1.0,-1.0
18,26752838,4.363462233903898e-09,"[(-100.384051,25.6393502),(-100.3857092,25.6398191)]",1.0,11.0,5.0,4.0,0.75,-1.0,-1.0,-1.0
